,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
20,6662.1,6139.32,4472.42,5868.63,6756.33,6077.68,4572.06,6006.82,6916.61,5200.39,5155.33,5927.64,5228.84,5152.56,6144.8,6335.98,4942.67,5392.46,6526.82,5243.65,5002.02,7034.23,5444.83,6032.3,6750.71,6506.01,7165.95,7222.91,7964.17,4753.77,3658.2,5056.34,8332.34,5500.57,6647.43,7624.13,5055.11,5058.22,6208.79,5109.83,5469.48,5372.06,7093.76,6056.47,6756.29,5228.68,5178.57,5790.78,5755.41,6728.18,6866.26,6121.36,5316.12,6805.61,7694.29,6147.76,5267.58,6160.19,6375.6,5329.88,6268.13,4945.26,6208.57,6290.47,5926.18,4873.77,6049.06,6011.43,5269.84,5005.37,6174.14,5947.14,5335.67,3785.93,5674.69,6499.76,5312.47,5985.84,6218.64,6690.04,5411.8,5640.13,7102.57,5848.65,6069.74,6570.51
21,6868.91,6218.35,4601.4,6512.68,7137.81,6169.73,4330.91,6371.18,7231.62,5736.65,5472.37,6201.63,5342.04,5439.66,6787.87,6831.89,4956.6,5930.72,7168.54,5542.02,5365.84,7490.16,5652.8,6243.03,7273.58,6643.34,7340.87,7661.05,7376.63,4344.55,3419.22,4614.35,7788.29,5831.73,7115.42,8323.53,4566.78,5937.6,6559.86,5449.71,5533.63,6081.99,7318.36,6500.07,7334.7,5387.37,5604.61,6245.07,6205.51,7319.21,7129.36,6279.74,5773.47,7258.67,7580.05,6348.27,5203.12,6701.88,6649.14,5497.99,6617.7,5058.23,6502.75,6681.44,6342.55,5106.46,6317.04,6443.74,5606.1,5398.17,6316.0,6234.94,5834.59,4143.5,6231.38,6551.28,5451.42,6073.98,6262.75,7182.65,5771.1,6425.64,7411.87,6084.97,6426.01,6826.11
22,7307.83,6251.25,4900.88,7164.76,7381.75,6585.05,4346.99,7109.19,7482.82,6016.82,5989.63,6417.08,5487.92,5727.54,7323.82,7288.69,4820.21,6387.91,7245.39,5539.76,5962.13,7401.24,6123.19,6900.27,7800.67,7024.92,7804.46,8483.95,5637.63,4292.64,3755.63,4858.61,8275.27,6288.9,8093.54,8851.65,4428.73,6227.96,6725.3,5873.65,5557.74,6479.77,7260.69,6742.28,7870.28,5648.2,5823.24,6174.43,6592.39,7608.8,7223.82,6780.95,6198.14,7843.67,8395.92,6562.86,5366.28,7195.32,6957.22,5963.67,7207.89,5703.07,6743.82,7008.36,6675.47,5653.55,6389.27,6825.34,5926.4,5671.53,6290.21,6838.2,5678.62,4569.79,6625.56,6787.97,5768.93,5990.85,6503.06,7787.69,6216.07,6987.98,7585.86,6428.11,7117.02,7338.3
23,7472.65,6384.42,5424.58,7522.64,7854.9,6807.04,4871.0,7565.5,7863.57,6129.27,6305.57,6465.69,5770.55,5759.38,7630.1,7280.68,4948.23,6556.69,7322.13,5314.02,6477.42,7682.07,6634.59,7581.95,8226.52,7483.35,8285.08,8806.34,6157.13,4272.0,3289.01,4984.48,8735.37,6619.76,8379.83,8985.54,4641.87,6323.99,6848.88,5914.54,5476.43,6812.08,7655.37,7185.82,8296.6,6110.17,6016.15,6425.45,7075.71,7884.95,7755.51,7359.73,6578.01,8506.77,8764.69,6947.94,5645.71,7618.33,7469.02,6392.92,7556.66,6240.61,7173.35,7161.87,6922.65,5957.63,6858.07,7178.33,5877.05,6358.01,7021.41,7264.25,5536.08,4536.84,6805.91,7316.56,6025.51,6372.4,7062.32,7949.0,6553.78,7347.66,7837.37,6642.29,7769.36,7729.95
24,7939.02,7021.05,5819.72,7991.96,8434.41,6904.18,5393.14,7895.1,7993.34,6587.11,6615.52,6711.38,6323.04,6169.17,7809.47,7413.63,5580.66,6828.5,7557.35,5869.04,6777.77,8103.64,7170.78,8216.59,8664.8,7739.1,8625.47,9779.75,6549.19,4707.93,3532.13,5498.79,9558.29,6922.19,9158.53,9580.48,5074.98,6521.98,7112.79,6233.28,5900.66,7547.25,8220.5,7712.83,8939.85,6443.45,6236.07,6808.85,7543.08,8812.74,8337.65,7709.61,7059.54,8971.83,8823.62,7088.15,6058.21,8229.06,7628.86,7029.65,7558.51,6785.66,7696.33,7646.6,7340.15,6489.9,7131.73,7156.24,6115.64,6905.52,7619.03,7613.85,5909.71,5226.67,7756.53,7550.5,6086.36,6925.05,7579.8,8224.38,6500.08,7921.42,8239.85,7241.83,8104.58,8539.04
25,8311.53,7276.37,5956.5,8654.94,8672.47,6978.57,5490.74,7965.29,8002.71,7009.01,6859.11,6767.94,6715.6,6387.49,8003.12,7292.17,6078.84,7172.58,7223.19,6136.53,7243.57,8775.72,7516.0,8600.05,8989.37,8203.92,8826.44,10136.15,7276.73,5387.83,3803.65,5122.6,10594.9,7008.19,10002.41,10180.6,5252.4,6765.39,7370.23,6134.69,6021.17,8324.83,8474.03,8285.42,9268.74,7004.76,6220.59,6847.44,8014.38,9478.46,8497.1,7922.22,7530.23,9589.11,9184.76,7068.69,6377.24,8396.41,7618.49,7624.1,7983.08,7173.22,8089.26,7998.82,7582.31,7017.09,7091.32,7413.43,6186.16,7478.46,8058.73,7626.54,6031.56,6095.79,8366.84,7639.87,6298.92,7123.37,8199.55,8237.96,6644.72,8370.53,8079.16,7951.49,8856.77,9383.54
26,8624.7,7279.45,6238.91,9209.68,8754.03,6567.05,6032.07,8384.21,8513.61,7228.77,7369.65,6940.25,6890.33,6864.95,8284.37,7841.48,6271.85,7717.53,8065.89,6284.89,7839.45,9237.83,7679.71,8680.37,8672.77,8644.93,9623.92,10624.49,7862.66,5796.91,4123.8,5414.41,10347.87,6850.74,10525.08,10479.34,5193.81,7058.98,7633.72,6484.35,5995.26,8944.46,9032.16,8587.1,9287.78,7012.08,6619.6,7227.66,8402.45,9643.89,8837.22,8275.05,8006.06,9820.64,10141.23,7462.37,6812.85,8914.6,7808.18,8167.32,8286.16,7440.0,8537.41,8301.51,7553.75,7484.02,7251.32,7541.2,6591.0,7972.93,8552.01,7795.2,6594.87,6687.27,8710.99,7910.23,6590.8,7571.02,7730.09,8865.21,6729.06,8979.31,8390.7,8186.8,9696.19,10081.2
27,9232.28,7272.04,6702.66,9397.14,8933.57,6902.32,6678.87,9080.28,8609.5,7502.56,7914.7,7239.22,7026.12,7709.97,8501.27,8036.45,6531.9,8303.29,8315.26,6627.18,8647.51,9222.98,7812.18,8900.16,8736.3,9176.1,10558.06,10866.46,8681.54,5519.93,3375.62,6328.31,10836.87,7690.75,10844.75,10149.08,5279.37,6435.8,8020.44,6586.29,6052.37,9567.98,9184.81,9118.79,10209.89,7046.25,7458.42,7532.81,8970.38,10108.98,9129.97,8166.96,8648.99,10479.77,10570.47,7941.68,7151.05,9367.46,8211.06,8688.7,8308.98,8098.96,8961.56,8710.06,8088.66,7913.5,8102.88,7993.88,6677.12,8550.87,8938.1,7938.35,6538.75,7065.43,9084.22,8087.19,7196.83,8036.2,7911.41,9258.01,7386.4,9642.35,8709.23,8548.15,10244.38,10267.47
28,9514.51,7428.16,6859.75,9224.73,8992.67,6957.95,7362.16,9700.38,8772.08,7977.48,8214.11,7342.6,7379.87,7832.35,9007.14,8074.89,7073.75,9218.15,8093.35,7151.74,9313.06,9093.69,8100.61,9511.46,9114.67,9816.39,11205.03,11341.44,8449.97,5263.43,3235.36,8538.46,10019.31,8623.95,10561.56,9997.71,5639.79,6985.05,7188.27,6751.14,6444.38,10271.92,9667.43,9784.25,10538.99,7220.84,8145.0,7792.48,9606.41,10448.14,9447.45,8525.84,9318.0,10745.89,10537.32,8558.28,7689.99,9812.65,8432.83,9076.89,7967.13,8563.96,9349.27,9140.69,7944.76,8356.9,8592.06,8559.34,6173.23,8728.03,9141.59,8002.25,6629.14,7832.8,9323.1,8367.24,7882.58,8153.31,8598.06,9378.39,7704.33,10355.74,8961.09,9064.2,10570.98,10560.64
29,9762.26,7305.74,7175.37,9641.06,9418.83,7031.44,7681.56,10187.36,8646.76,8451.47,8523.31,7269.43,7652.64,8234.24,9411.75,8566.49,7409.96,9794.88,8267.11,6873.77,9542.42,9058.14,8577.49,10004.92,9879.11,10262.52,10955.45,11872.05,7872.08,5389.1,3073.21,10363.01,10468.8,9269.73,11331.77,9929.21,6087.06,7417.45,6858.15,7313.83,7104.34,10776.31,10453.39,10278.91,10777.15,7789.32,8805.68,7670.31,10094.46,10599.48,10037.18,8526.72,9709.88,11697.92,10783.8,9005.68,8182.52,10026.35,9054.98,9250.82,7301.24,8857.98,9590.43,8991.22,8173.61,8546.18,9127.78,8395.06,6430.51,8859.24,9465.15,8112.45,6935.44,8342.21,9684.34,8719.6,8211.98,8631.47,9481.37,9735.67,7558.02,10816.81,9064.93,9573.36,11185.66,11323.05
30,10296.57,7261.74,7790.33,10257.91,9475.5,7618.06,8284.0,10648.84,8507.78,8725.22,8843.7,7683.07,7524.72,8514.8,9594.72,8647.33,7799.69,10447.28,8577.18,7170.41,9933.87,9067.46,9308.18,10610.89,10626.57,10813.62,11352.61,13264.47,8003.42,5881.73,3552.76,11537.79,10275.88,10078.84,12330.18,10856.08,7664.5,7910.19,7408.26,8021.34,7701.51,11324.06,11051.77,10374.6,10770.36,8603.6,8902.42,8441.94,9671.37,11130.8,10658.65,8969.43,10429.43,12887.9,11694.31,9495.98,8716.98,10736.78,9124.91,9523.1,7781.9,9021.28,10256.17,9275.67,8450.03,8996.84,9407.31,8305.33,6740.21,9091.86,9691.04,8488.88,6391.93,8654.14,10224.59,9109.57,8481.15,9032.44,10240.67,9808.33,7851.32,11170.02,9254.6,10069.37,11253.77,11960.15
