,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
20,6244.94,5918.99,4843.24,5756.42,6312.89,5886.55,4911.73,5866.01,6419.03,5329.13,5296.31,5801.9,5349.65,5298.32,5950.86,6062.17,5166.04,5467.48,6191.54,5373.37,5208.18,6511.56,5495.48,5866.67,6317.68,6161.06,6577.66,6603.66,7061.17,5020.75,4271.37,5235.96,7323.14,5535.13,6256.31,6834.08,5229.39,5220.64,5949.92,5238.15,5468.19,5410.11,6500.39,5851.44,6293.85,5339.48,5282.93,5682.52,5657.87,6275.2,6364.47,5897.97,5388.25,6336.34,6877.46,5919.65,5361.91,5950.11,6087.87,5415.65,6013.67,5165.89,5978.25,6031.43,5800.79,5134.46,5897.46,5879.32,5413.4,5250.22,6003.55,5849.84,5470.45,4435.17,5720.56,6234.32,5461.53,5920.4,6077.88,6412.72,5647.84,5796.04,6687.39,5901.97,6028.0,6293.24
21,6477.98,6069.08,5024.87,6276.19,6655.94,6046.82,4852.92,6202.7,6721.43,5774.81,5601.11,6079.24,5521.87,5584.0,6470.51,6479.74,5275.13,5922.21,6705.66,5667.82,5545.49,6905.44,5730.34,6102.51,6750.29,6350.61,6789.88,6982.97,6804.38,4837.29,4197.09,5007.14,7074.4,5845.48,6658.22,7368.54,5023.12,5910.59,6272.64,5554.08,5604.91,5971.9,6743.59,6234.28,6761.36,5541.2,5657.82,6073.84,6045.99,6750.09,6632.09,6099.17,5779.9,6725.81,6911.25,6148.62,5417.53,6403.3,6365.58,5623.52,6338.88,5338.9,6268.27,6383.21,6169.72,5386.51,6172.85,6261.24,5736.04,5611.58,6199.8,6140.04,5896.7,4774.32,6194.01,6376.7,5656.99,6081.52,6217.33,6844.81,6001.01,6428.16,7001.58,6169.74,6369.91,6564.9
22,6857.67,6189.72,5317.36,6801.42,6913.39,6413.42,4961.87,6788.97,6984.22,6055.87,6036.71,6318.9,5715.73,5870.56,6919.92,6873.09,5287.18,6322.77,6858.04,5768.08,6037.47,6950.9,6133.49,6626.75,7186.04,6694.74,7187.22,7605.03,5833.72,4894.54,4515.83,5262.11,7486.48,6234.41,7395.23,7798.89,5037.44,6196.05,6477.45,5924.47,5715.77,6327.84,6810.03,6488.03,7201.88,5806.87,5895.33,6123.47,6393.28,7034.4,6794.09,6518.65,6150.98,7200.68,7523.45,6387.04,5621.71,6824.74,6665.25,6024.94,6819.06,5854.78,6524.35,6694.46,6485.6,5841.64,6321.34,6611.11,6049.05,5893.37,6289.28,6633.92,5903.25,5159.51,6558.88,6636.87,5969.16,6130.0,6485.45,7352.22,6406.98,6910.84,7231.91,6506.88,6928.69,7000.81
23,7064.65,6375.14,5755.61,7133.03,7314.58,6657.08,5401.67,7187.41,7328.67,6229.15,6341.46,6450.37,5999.12,5990.47,7218.65,6972.45,5471.04,6530.65,7010.77,5724.04,6475.73,7233.5,6563.32,7167.13,7558.56,7087.81,7595.8,7912.29,6262.45,4973.39,4289.92,5434.6,7881.63,6545.11,7678.17,7988.01,5273.69,6348.73,6655.73,6047.3,5758.07,6640.79,7160.32,6871.3,7572.99,6198.72,6116.04,6382.74,6803.35,7310.43,7230.95,6987.88,6493.52,7726.23,7858.02,6734.46,5901.18,7200.13,7093.08,6402.88,7144.72,6301.82,6902.51,6895.44,6747.04,6140.17,6729.18,6943.61,6124.28,6448.79,6862.79,7014.22,5918.87,5238.88,6781.16,7082.23,6242.65,6488.39,6960.67,7575.59,6746.46,7258.76,7512.52,6761.24,7462.32,7360.11
24,7467.3,6889.77,6115.38,7542.78,7787.79,6826.11,5845.2,7506.02,7520.73,6630.15,6647.23,6715.19,6463.43,6361.82,7438.81,7166.23,5986.98,6812.15,7270.41,6190.71,6775.91,7611.41,7014.12,7682.16,7944.19,7357.64,7919.55,8635.51,6617.42,5362.31,4550.22,5882.19,8514.52,6843.28,8288.94,8465.5,5654.24,6575.57,6928.27,6354.57,6135.42,7223.77,7622.92,7313.13,8087.49,6515.12,6359.34,6732.96,7207.87,8005.16,7704.87,7316.45,6905.91,8129.14,8004.51,6930.74,6272.09,7704.38,7306.07,6920.44,7252.42,6758.71,7346.15,7313.09,7123.13,6590.3,7014.35,7038.84,6391.59,6916.64,7356.45,7350.64,6271.78,5804.49,7523.02,7346.55,6394.88,6965.65,7415.33,7877.82,6843.53,7754.83,7894.16,7271.33,7795.89,7991.8
25,7809.99,7159.48,6301.9,8065.51,8049.53,6979.89,6001.3,7664.39,7642.55,7009.21,6910.07,6857.39,6824.53,6606.75,7673.88,7201.48,6423.57,7142.37,7175.76,6468.96,7184.45,8140.7,7342.79,8033.7,8258.93,7758.31,8159.87,8968.48,7195.49,5939.17,4823.47,5712.01,9242.22,7002.23,8908.26,8936.25,5860.96,6835.39,7197.08,6385.77,6310.16,7818.89,7891.73,7778.11,8401.2,6982.19,6446.85,6861.16,7611.49,8520.24,7917.88,7560.0,7310.99,8614.87,8338.46,7025.71,6582.29,7924.26,7413.38,7408.31,7630.28,7114.8,7704.38,7646.02,7388.26,7040.86,7099.86,7316.0,6541.68,7398.85,7748.91,7476.11,6454.1,6518.34,8028.5,7520.76,6642.3,7210.24,7938.17,8022.08,7058.33,8167.02,7926.14,7855.43,8390.91,8632.39
26,8116.14,7268.23,6588.82,8521.23,8216.5,6821.53,6469.95,8037.8,8071.88,7256.67,7347.66,7075.18,7041.81,7025.85,7962.51,7659.15,6650.78,7602.56,7818.42,6667.59,7677.44,8540.91,7556.05,8199.27,8188.58,8144.18,8757.01,9376.57,7681.64,6318.31,5140.95,6005.06,9221.24,7005.34,9336.91,9232.19,5901.85,7127.66,7469.73,6714.5,6387.55,8314.8,8344.33,8075.19,8530.49,7086.36,6809.03,7208.99,7962.5,8736.79,8238.9,7889.75,7719.26,8871.11,9025.37,7383.94,6971.22,8357.77,7645.1,7863.53,7932.04,7393.1,8097.12,7948.19,7482.52,7452.1,7314.2,7510.99,6919.17,7829.42,8175.52,7699.98,6941.61,7034.33,8365.73,7810.32,6945.4,7618.45,7769.17,8549.83,7233.89,8680.64,8254.8,8132.06,9039.0,9183.96
27,8603.7,7370.47,6999.13,8750.96,8442.79,7143.88,7011.85,8583.86,8246.51,7539.83,7808.2,7375.69,7233.73,7690.61,8211.48,7894.03,6924.83,8089.74,8089.42,6998.75,8308.75,8648.7,7749.65,8450.23,8345.96,8586.49,9437.43,9642.38,8320.82,6198.35,4602.46,6726.94,9629.88,7650.24,9645.72,9163.33,6046.81,6819.76,7820.72,6879.7,6521.29,8813.61,8551.3,8514.99,9195.45,7208.46,7462.18,7508.71,8426.09,9131.9,8531.62,7934.13,8234.14,9381.75,9400.55,7797.23,7294.79,8752.23,8010.49,8305.26,8058.42,7925.84,8475.46,8316.84,7933.3,7839.11,7971.7,7914.3,7082.5,8315.13,8535.62,7908.23,7005.8,7399.18,8721.69,8041.12,7462.75,8039.1,8012.8,8934.15,7800.93,9229.78,8589.97,8491.11,9504.24,9425.75
28,8891.47,7577.48,7201.74,8758.54,8596.33,7286.6,7578.75,9083.38,8462.4,7954.8,8108.84,7549.32,7570.44,7873.19,8640.88,8030.49,7393.57,8790.94,8064.64,7454.04,8847.81,8686.1,8042.96,8941.35,8692.91,9097.17,9945.91,10043.94,8271.36,6095.59,4555.93,8339.06,9273.02,8355.44,9596.28,9197.7,6387.68,7279.71,7397.42,7086.8,6880.33,9363.2,8959.04,9038.17,9508.79,7422.97,8014.68,7779.36,8932.71,9452.35,8839.63,8268.96,8766.18,9659.14,9500.25,8298.73,7753.03,9143.04,8263.16,8661.81,7956.37,8333.22,8831.46,8699.79,7954.8,8236.23,8398.24,8390.86,6849.79,8541.82,8781.09,8067.5,7171.43,8040.65,8994.28,8338.25,8034.99,8233.4,8576.55,9150.67,8137.93,9812.18,8886.9,8950.79,9832.24,9735.35
29,9158.28,7606.5,7512.03,9130.3,8972.88,7441.13,7892.93,9500.63,8500.81,8369.49,8416.31,7608.48,7853.9,8242.52,9007.67,8453.57,7720.83,9273.31,8288.99,7364.65,9103.78,8781.19,8456.85,9360.79,9273.33,9487.52,9913.75,10478.48,7995.24,6270.26,4497.14,9684.54,9659.49,8875.95,10174.26,9279.9,6789.91,7663.31,7292.92,7556.85,7419.17,9788.3,9552.1,9455.72,9768.17,7896.07,8550.1,7804.29,9347.27,9660.74,9313.42,8381.61,9121.77,10346.26,9766.7,8693.23,8180.41,9392.23,8766.62,8881.69,7650.85,8630.34,9096.28,8720.13,8212.87,8466.85,8854.84,8400.91,7131.25,8739.5,9102.81,8256.63,7485.21,8498.75,9345.02,8681.55,8366.7,8663.63,9265.94,9515.35,8163.24,10236.02,9092.94,9405.28,10342.37,10333.27
