,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
23,7465.99,6383.95,5427.86,7514.84,7848.08,6807.65,4878.55,7557.74,7857.01,6130.91,6305.17,6464.67,5772.43,5758.49,7623.0,7282.02,4962.86,6551.54,7311.84,5318.22,6473.86,7676.14,6634.57,7576.47,8219.03,7481.31,8279.08,8798.32,6161.44,4279.87,3300.38,4985.68,8716.05,6617.3,8372.54,8984.39,4652.68,6314.82,6845.88,5919.31,5482.94,6804.86,7646.06,7182.77,8288.38,6111.65,6020.15,6428.65,7078.62,7887.66,7748.89,7352.52,6576.87,8497.71,8755.71,6945.65,5647.28,7612.78,7464.58,6392.28,7552.3,6240.81,7170.72,7159.67,6921.1,5958.28,6855.45,7175.38,5877.52,6356.76,7017.52,7260.7,5537.95,4542.36,6803.82,7313.86,6028.56,6373.72,7061.28,7944.1
24,7928.5,7016.7,5820.34,7980.27,8423.86,6902.68,5397.79,7884.03,7984.31,6585.53,6612.44,6707.93,6321.34,6165.31,7800.48,7413.45,5591.09,6820.86,7544.46,5869.71,6771.53,8093.86,7166.8,8206.22,8653.75,7734.65,8616.24,9765.65,6550.62,4713.3,3541.44,5496.69,9532.24,6916.95,9146.35,9574.93,5083.04,6510.63,7107.11,6235.53,5903.76,7534.56,8206.51,7705.75,8927.08,6442.24,6237.91,6809.71,7542.59,8809.4,8326.18,7699.07,7054.96,8958.63,8812.55,7083.56,6056.87,8219.3,7622.2,7025.26,7552.05,6782.58,7690.14,7640.98,7335.46,6487.38,7126.38,7151.37,6113.8,6900.71,7611.2,7607.15,5909.11,5229.15,7749.15,7545.3,6088.07,6922.86,7575.1,8216.5
25,8300.66,7272.16,5957.07,8641.68,8662.14,6978.51,5495.66,7956.1,7995.73,7006.93,6856.29,6765.66,6712.86,6384.06,7995.37,7294.88,6087.74,7164.0,7214.71,6136.75,7237.16,8763.9,7511.82,8589.88,8978.78,8198.72,8817.68,10122.11,7276.82,5391.49,3812.48,5124.34,10564.56,7003.97,9988.58,10174.36,5261.05,6754.71,7365.25,6139.54,6025.44,8309.27,8460.89,8277.55,9255.82,7002.91,6224.24,6850.06,8013.42,9473.46,8486.83,7912.2,7524.8,9574.37,9173.91,7065.17,6375.83,8387.11,7613.24,7618.67,7976.2,7169.85,8082.83,7993.08,7577.9,7013.93,7087.12,7408.72,6185.09,7472.68,8050.4,7620.68,6031.58,6096.65,8358.32,7635.72,6301.28,7121.93,8193.69,8231.69
26,8613.75,7277.12,6239.56,9196.09,8745.3,6569.81,6036.04,8374.45,8505.69,7227.04,7365.91,6938.58,6888.22,6860.65,8277.44,7843.77,6280.89,7707.38,8054.18,6286.05,7831.39,9225.9,7677.05,8671.44,8665.52,8639.6,9613.37,10609.99,7861.82,5799.93,4131.47,5416.26,10320.83,6848.75,10510.89,10473.59,5203.74,7048.29,7628.92,6489.05,6001.05,8926.96,9017.59,8579.23,9276.53,7011.42,6622.89,7230.74,8401.5,9640.59,8826.76,8264.75,8000.0,9806.45,10128.19,7458.49,6810.81,8904.61,7803.74,8161.11,8279.33,7436.79,8530.66,8295.89,7550.46,7480.39,7247.61,7537.06,6589.59,7966.42,8543.0,7789.75,6594.24,6687.28,8702.27,7906.52,6593.46,7569.21,7728.51,8857.68
27,9219.99,7270.88,6702.67,9384.02,8925.3,6904.97,6681.46,9068.66,8602.53,7500.97,7909.89,7237.58,7024.15,7703.11,8495.53,8040.06,6540.65,8291.31,8303.13,6627.43,8637.45,9212.95,7810.49,8892.4,8730.93,9170.24,10545.17,10852.53,8679.07,5525.1,3389.59,6326.32,10808.7,7686.47,10831.64,10147.49,5289.9,6429.97,8015.77,6592.05,6059.16,9548.53,9171.11,9109.87,10196.06,7047.08,7459.63,7536.35,8968.49,10105.24,9119.93,8159.06,8641.0,10463.87,10557.23,7937.15,7148.72,9357.02,8206.26,8681.77,8303.11,8094.87,8954.58,8704.24,8084.81,7909.46,8097.57,7989.32,6676.37,8543.44,8928.78,7933.46,6539.31,7065.23,9075.34,8084.34,7198.6,8034.0,7910.75,9250.29
28,9502.28,7427.54,6859.52,9213.66,8986.16,6962.23,7362.49,9688.05,8765.75,7975.18,8209.32,7341.92,7377.68,7826.41,9001.22,8080.69,7080.6,9201.53,8084.73,7150.84,9300.97,9086.26,8099.07,9502.13,9109.6,9809.01,11190.61,11327.14,8449.38,5270.37,3251.19,8527.69,9998.02,8616.34,10551.51,9999.56,5649.3,6978.55,7189.79,6758.26,6450.16,10250.08,9653.37,9773.7,10525.02,7223.01,8144.68,7797.18,9603.24,10445.11,9437.71,8517.92,9308.2,10730.4,10526.07,8552.61,7686.54,9801.67,8428.41,9069.66,7963.36,8559.45,9342.07,9134.63,7942.32,8352.4,8586.29,8554.04,6175.3,8720.91,9132.55,7998.1,6630.44,7831.2,9314.67,8364.82,7883.12,8152.25,8595.98,9371.71
29,9751.18,7306.77,7175.09,9629.49,9412.64,7036.61,7681.85,10174.16,8643.25,8448.46,8519.21,7270.6,7649.86,8228.63,9406.98,8573.01,7416.0,9776.51,8259.37,6876.51,9531.72,9052.76,8575.12,9995.38,9872.49,10255.05,10944.1,11857.18,7875.09,5396.46,3090.64,10344.02,10447.5,9260.62,11321.11,9934.22,6095.59,7410.33,6863.58,7319.85,7107.62,10753.25,10436.72,10267.49,10763.43,7790.91,8803.93,7677.82,10090.82,10597.98,10026.17,8520.56,9699.38,11679.42,10773.15,8999.48,8178.23,10015.8,9049.5,9243.96,7300.88,8853.67,9583.59,8986.71,8171.52,8542.0,9121.33,8391.27,6432.71,8852.65,9456.01,8108.96,6936.84,8339.96,9675.82,8717.41,8212.71,8630.02,9477.1,9729.0
30,10284.51,7264.12,7788.83,10245.03,9470.28,7622.29,8283.05,10634.89,8506.37,8722.36,8839.55,7683.79,7524.15,8509.33,9591.43,8655.94,7804.59,10426.68,8569.46,7172.41,9922.72,9063.86,9303.7,10599.82,10617.86,10805.61,11341.33,13245.76,8007.02,5888.13,3568.02,11514.29,10257.46,10067.55,12318.09,10857.92,7667.42,7902.71,7413.23,8025.6,7702.57,11299.55,11033.5,10364.15,10757.95,8603.75,8902.05,8447.85,9674.12,11127.76,10645.88,8962.57,10417.16,12865.83,11681.44,9489.25,8711.86,10724.93,9120.2,9516.42,7781.1,9017.37,10248.4,9271.36,8448.16,8992.27,9400.99,8302.8,6742.38,9085.47,9682.11,8485.28,6396.37,8651.85,10215.38,9107.43,8482.34,9031.02,10234.67,9803.02
31,10874.58,7328.63,8367.65,10941.76,10497.44,7342.32,8960.35,11211.37,9032.29,8605.42,9360.32,8208.55,7835.69,9194.37,9986.57,8722.34,8207.86,10034.96,8547.29,7401.27,10627.71,9434.32,9953.0,11067.95,11369.59,11712.53,12032.05,14324.61,8207.91,6009.5,5801.05,11243.35,10163.82,11074.89,12882.78,11290.46,8024.28,8090.98,7890.45,8306.62,7979.09,11051.56,11189.77,10714.2,10854.57,8741.0,8949.41,9084.14,10607.28,11964.55,11016.13,9319.7,10946.96,13101.84,11922.71,9257.6,9350.01,10965.03,9534.78,10166.49,8298.86,9573.36,10394.95,9748.22,8221.38,9438.44,9489.44,8553.48,7244.91,9218.73,10333.1,8617.43,6421.02,8304.25,10431.86,9188.17,9396.49,9770.74,10876.55,10158.52
32,11209.25,7453.78,9055.98,11286.56,11138.37,7572.33,9172.81,11537.7,9409.87,8435.67,9723.02,8602.98,8148.72,9859.61,10727.07,8624.55,8493.14,10523.43,9183.42,7911.18,11236.21,9821.01,10179.38,11653.01,11870.38,12711.91,13211.87,15218.15,8511.71,5385.54,6699.72,11462.55,10229.98,11625.07,13348.44,9979.01,7959.89,9287.93,8551.77,8654.78,8388.7,11614.48,11324.79,11775.48,9530.32,8821.54,9162.02,9533.01,11328.34,12620.21,11166.1,9202.09,11528.16,14019.55,11822.28,9177.27,9907.42,10824.93,9543.54,10385.16,8523.09,10132.66,10879.39,10382.95,8223.23,9873.74,10106.22,8883.79,7993.61,9729.13,10480.04,9069.5,6028.14,8506.09,10967.25,9352.44,9709.94,10199.92,11466.56,9571.03
